Склад,Группа,Наименование,Чертеж,Кол-во
склад 2,Судовая запорная арматура,Задвижка клинкетная стальная Ду300,544-03.067,2
склад 2,Захлопки,Захлопка фланцевая вертикальная Ду50Ру63,529-35.1400-01,1
склад 2,Захлопки,Захлопка фланцевая горизонтальная Ду50,529-03.011,1
склад 2,Захлопки,"Захлопка фланцевая проходная Ду100Ру6,3",529-35.1406-01,1
склад 2,Захлопки,Захлопка фланцевая горизон. Ду100 Ру10,529-03.074,3
склад 2,Захлопки,Захлопка фланцевая вертикальная Ду100,529-03.003,1
склад 2,Захлопка угловая,Захлопка фланцевая угловая Ду100Ру10,529-35-1405-01,1
склад 2,Клапана быстрозапорн. фланцевые проходные,"Клапан быстрозапор. фланц.проход. с тросиков.приводом Ду70 Ру6,3",БЕЗ ЧЕРТЕЖА,3
склад 2,Клапана быстрозапорн. фланцевые проходные,"Клапан быстрозапор. фланц.проход. с тросиков.приводом Ду80 Ру6,3",521-03.023,2
склад 2,Клапана быстрозапорн. фланцевые проходные,"Клапан быстрозапор. фланц.проход. с тросиков.приводом Ду65 Ру6,3",521-03-022,1
склад 2,Клапан фланцевый проходной,Клапан фланцевый проходной Ду125 ок.входа,521-35.3455-02,2
склад 2,Клапан фланцевый угловой,Клапан фланцевый угловой Ду40 Ру25 сталь ок.входа,522-35.445-19,2
склад 2,Клапан запорный штуцерный проходной,Клапан запорный штуцерный проходной Ду10 Ру16,521-35.2754,6
склад 2,Клапан штуцерный проходной,Клапан штуцерный проходной Ду10 Ру25 СТАЛЬ,521-3м-953,1
склад 2,Клапан штуцерный проходной,Клапан штуцерный проходной Ду10 Ру63 СТАЛЬ,522-03.134,1
склад 2,Клапан штуцерный проходной,Клапан штуцерный проходной Ду10 Ру400,521-35.3238,1
склад 2,Клапан штуцерный проходной,Клапан штуцерный проходной Ду10 Ру400,521-03.420,2
склад 2,Клапан штуцерный проходной,Клапан невозвратный штуцерный проходной Ду20Ру160,522-03.089,1
склад 2,Клапан штуцерный проходной бессальниковый с герметизацией,Клапан штуцерный проходной бессальниковый Ду15/1,521-35.2608-01,3
склад 2,Клапан педальный,Клапан педальный Ду25,М528-03.001,1
склад 2,Клапан педальный,Клапан педальный Ду25 новый приход,М528-03.001,62
склад 2,Клапан угловой с присоединением под дюрит,Клапан угловой с присоединением под дюрит Ду50Ру4,521-03.445-04,4
склад 2,Клапан невозв-запорн. с присоед. под дюрит проходной,Клапан невозв-запорн. с присоед. под дюрит прох. Ду50 Ру6,522-03.124-04,1
склад 2,Клапана фланцевые проходные титановые,Клапан фланцевый проходной титановый Ду50Ру10,521-182.110,5
склад 2,Клапана фланцевые проходные титановые,Клапан фланцевый проходной титановый Ду100Ру10,521-182.116,1
склад 2,Клапан цапковый угловой под дюрит,Клапан невозв-запор. цапковый угловой под дюрит Ду20Ру6,522-03.123,2
склад 2,Клапан самозакрывающий проходной муфтовый,(Кнопка) Клапан самозакрывающий проходной муфтовый Ду15Ру3,528-35.176,1
склад 2,Клапан дроссельный угловой штуцерный,Клапан дроссельный угловой штуцерный,525-35.577,1
,Клапан штуцерный угловой,Клапан штуцерный угловой Ду10 Р160,"522-03,149",6
склад 2,Клапан штуцерный угловой,Клапан штуцерный угловой Ду15 Ру160,521-03.387,4
склад 2,Клапан штуцерный угловой,Клапан штуцерный угловой Ду20 Ру160,521-03.479,1
склад 2,Клапан штуцерный угловой,Клапан штуцерный угловой Ду20 Ру100,521-01.468-05,5
склад 2,Клапан штуцерный угловой,Клапан штуцерный угловой Ду32Ру100 (Ящик мет.),521-01.468-07,31
склад 2,Клапан штуцерный угловой,Клапан штуцерный угловой Ду32Ру100 (Ящик мет.),521-01.464-07,14
склад 2,Клапан штуцерный угловой,Клапан штуцерный угловой Ду32Ру100 (Ящик мет.),521-01.464-06,1
склад 2,Клапан штуцерный угловой,Клапан штуцерный угловой Ду32Ру100 (Ящик мет.),522-01.500-07,1
склад 2,Клапан штуцерный угловой,Клапан штуцерный угловой Рр150/10,521-ц22п,8
склад 2,Клапан штуцерный угловой,Клапан штуцерный угловой Ду25,521--01.468-08,1
склад 2,Клапан штуцерный угловой,Клапан штуцерный угловой Ду НЕРЖ,521-03.472-01,1
склад 2,Клапан штуцерный угловой,Клапан штуцерный угловой Ду25,521--35.3363,1
склад 2,Клапан редукционный штуцерный угловой,Клапан редукционный штуцерный угловой Ду10Ру200…30 с манометром,525-35.2634,1
склад 2,Клапан редукционный штуцерный угловой,Клапан редукционный штуцерный угловой Ду10Ру200…30 с манометром,525-35.2634-04,1
склад 2,Клапан для манометра штуцерный сальниковый,Клапан для манометра штуцерный сальниковый Ду6Ру100 новый,521-02.013,95
склад 2,Клапан для манометра штуцерный сальниковый,Клапан для манометра штуцерный Ду3Ру400 новый,521-03.406,2
склад 2,Клапан редукционный проходной,Клапан редукционный штуц. проход. односедельный Ду20Ру400 у входа,525-03.044,9
склад 2,Клапан с электромагнитным ручным управлением,Клапан с электромагнитным ручным управлением Ду20/10 перем. 220В,587-35.8490-04,1
склад 2,Клапан с электромагнитным ручным управлением,Клапан,587-182.126,1
склад 2,Клапан фреоновый,Клапан фреоновый соленоидный,,2
склад 2,Клапан муфтовый проходной запорный,Клапан муфтовый проходной запорный Ду32Ру10,,1
склад 2,Клапан муфтовый проходной запорный,Клапан муфтовый проходной запорный Ду25Ру16,521-03.124,2
склад 2,Клапан муфтовый проходной запорный,Клапан муфтовый проходной запорный Ду20Ру16,,1
склад 2,Клапан предохранительный штуцерный сигнальный,Клапан предохранительный штуцерный сигнальный Ду6 Ру100-230,524-35.2423-01,1
склад 2,Клапан предохранительный штуцерный сигнальный,Клапан предохранительный штуцерный сигнальный Ду6Ру100-250,524-03.188,2
склад 2,Клапан предохранительный штуцерный сигнальный,"Клапан предохранительный штуцерный сигнальный Ду10Ру1,3-6,5",524-03.174,1
склад 2,Клапан предохранительный штуцерный сигнальный,"Клапан предохранительный штуцерный сигнальный Ду10Ру2,5-6,5",524-03.173,1
,Клапан пусковой,Клапан пусковой Ду20Ру125,,7
,Клапан пусковой,Клапан пусковой Ду32Ру125,587-03.082,8
склад 2,Клапан предохранительный штуцерный угловой,"Клапан предохранительный штуцерный угловой Ду6,5-9",524-03.004,1
склад 2,Клапан для колонки указательной,Клапан для колонки указательной Ду10 Ру16,598-03.022-06,6
склад 2,Клапан паровой,Клапан паровой Ду65Ру10,581-03.034,1
склад 2,Эжектор,"Эжектор ВЭЖ 6,3",,1
склад 2,Стакан переборочный,Стакан переборочный Ду10Ру100,554-35.265,5
склад 2,Стакан переборочный,Стакан переборочный Ду20Ру100,554-03.909-03,3
склад 2,Стакан переборочный,Стакан переборочный Ду20Ру100,554-03.905-06,8
склад 2,Стакан переборочный,Стакан переборочный Ду25Ру100,554-35.156,2
склад 2,Клапан фланцевый концевой пожарный угловой,Клапан фланц. концевой пожарный угловой Ду32 Ру10,595-03-006,1
склад 2,Клапан фланцевый концевой пожарный угловой,Клапан фланц. концевой пожарный угловой Ду32 Ру16,595-01-010,2
склад 2,Коробка 3-х клапановая фланцевая невозврат.,Коробка 3-х клап. фланцевая Ду50,,3
склад 2,Коробка 3-х клапановая фланцевая невозврат.,Коробка 3-х клап. фланцевая Ду80,,8
склад 2,Коробка 3-х клапановая фланцевая невозврат.,Коробка 3-х клап. фланцевая Ду100,,1
склад 2,Коробка 2-х клапановая фланцевая,Коробка 2-х клапановая фланцевая Ду50,,2
склад 2,Коробка 2-х клапановая фланцевая,Коробка 2-х клапановая фланцевая Ду80,,13
склад 2,Фильтр фланц. прох. забортной воды,Фильтр фланц. прох. забортной воды Ду100 Ру4,427-03-109-2,3
склад 2,Фланец приварной,Фланец свободный Ду80,555-35.1755,12
,Фланец приварной,Фланец Ду65,,39
склад 2,Прочее,Сетка на фильтр Ду100 или Ду80,,2
склад 2,Прочее,Сетка на фильтр Ду100 (медь) на кингстон РС-300,,2
склад 2,Прочее,Сетка на фильтр Ду20 маленькая,,1
склад 2,Кран штуцерный спусковой самозапорный проходной,Кран штуцерный спусковой самозапорный проходной Ду15 Ру25,,4
склад 2,Кран штуцерный спусковой самозапорный проходной,Кран штуцерный спусковой самозапорный проходной Ду20 Ру10,528-3М129,36
склад 2,Кран двухходовой фланцевый,Кран двухходовой фланцевый Ду32 Ру6,536-3М.72,1
склад 2,Кран трехходовой штуцерный,Кран трехходовой штуцерный Ду32 Ру10,536-35.696,2
склад 2,Кран трехходовой штуцерный,Кран трехходовой штуцерный Ду20 Ру16,536-35.695,7
склад 2,Кран двухходовой штуцерный,Кран двухходовой штуцерный Ду20 Ру16,536-3М5,3
склад 2,Котельная арматура,Клапан Ду20/10,581-С6.73,3
склад 2,Котельная арматура,Клапан Рр18-2 45/25,2619802505,1
склад 3,Кингстон,"Кингстон донный фланцевый Ду50 Ру2,5",без чертежа,1
склад 3,Кингстон,"Кингстон донный фланцевый Ду50 Ру2,5",527-03.054,1
склад 3,Кингстон,"Кингстон донный фланцевый Ду80 Ру2,5",527-03.055,2
склад 3,Клапан быстрозапор. фланц. проход. с тросиков. приводом,"Клапан быстрозапор. фланц. проход. с тросиков. приводом Ду40Ру6,3",521-03.020,7
склад 3,Клапан быстрозапор. фланц. проход. с тросиков. приводом,"Клапан быстрозапор. фланц. проход. с тросиков. приводом Ду65Ру6,3",521-03.022,5
склад 3,Клапан фланцевый угловой (бронза),Клапан фланцевый угловой Ду25,521-3М539,15
склад 3,Клапан фланцевый угловой (бронза),Клапан фланцевый угловой Ду40 Ру10,522-03.202,1
склад 3,Клапан фланцевый угловой (бронза),Клапан фланцевый угловой Ду40 Ру25,521-01.200,1
склад 3,Клапан фланцевый угловой (бронза),Клапан фланцевый угловой Ду50 Ру25,СВ/Т3197-95В25050,7
склад 3,Клапан фланцевый угловой (бронза),Клапан фланцевый угловой Ду65 Ру10,522-35.4154-02,6
склад 3,Клапан фланцевый угловой (бронза),Клапан фланцевый угловой Ду65 Ру10,522-35.4201,3
склад 3,Клапан фланцевый угловой (бронза),Клапан фланцевый угловой Ду65 Ру10,521-03.195,12
склад 3,Клапан фланцевый угловой (бронза),Клапан фланцевый угловой Ду80,522-03.197,7
