Категория	Группа	Место хранения	Наименование	Чертеж	Кол-во	Состояние	Комплектность	Происхождение
Арматура (улица/фойе)		улица	Задвижка Т-116		2	не указано	комплект	
Арматура (улица/фойе)		фойе	Клинкет Ду 100, сталь не комплект		2	не указано	не комплект	
Арматура (улица/фойе)		фойе	Клинкет Ду 200		11	не указано	комплект	
Арматура (улица/фойе)		фойе	Клинкет Ду 250		2	не указано	комплект	
Арматура (улица/фойе)		фойе	Клинкет Ду 250 не комплект		2	не указано	не комплект	
Арматура (улица/фойе)		фойе	Клинкет Ду 300		16	не указано	комплект	
Арматура (улица/фойе)		фойе	Клинкет Ду 350		1	не указано	комплект	
Арматура (улица/фойе)		фойе	Фильтр забортной воды Ду 50		1	не указано	комплект	
Арматура (улица/фойе)		фойе	Фильтр забортной воды Ду 100		1	не указано	комплект	
Арматура (улица/фойе)		фойе	Фильтр заборной воды ДУ 150		5	не указано	комплект	
Арматура (улица/фойе)		фойе	Фильтр забортной воды Ду200		8	не указано	комплект	
Арматура (улица/фойе)		фойе	Фильтр забортной воды Ду 300		2	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Судовая запорная арматура	склад 2	Задвижка клинкетная стальная Ду300	544-03.067	2	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Захлопки	склад 2	Захлопка фланцевая вертикальная Ду50Ру63	529-35.1400-01	1	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Захлопки	склад 2	Захлопка фланцевая горизонтальная Ду50	529-03.011	1	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Захлопки	склад 2	Захлопка фланцевая проходная Ду100Ру6,3	529-35.1406-01	1	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Захлопки	склад 2	Захлопка фланцевая горизон. Ду100 Ру10	529-03.074	3	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Захлопки	склад 2	Захлопка фланцевая вертикальная Ду100	529-03.003	1	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Захлопка угловая	склад 2	Захлопка фланцевая угловая Ду100Ру10	529-35-1405-01	1	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапана быстрозапорн. фланцевые проходные	склад 2	Клапан быстрозапор. фланц.проход. с тросиков.приводом Ду70 Ру6,3	БЕЗ ЧЕРТЕЖА	3	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапана быстрозапорн. фланцевые проходные	склад 2	Клапан быстрозапор. фланц.проход. с тросиков.приводом Ду80 Ру6,3	521-03.023	2	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапана быстрозапорн. фланцевые проходные	склад 2	Клапан быстрозапор. фланц.проход. с тросиков.приводом Ду65 Ру6,3	521-03-022	1	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан фланцевый проходной	склад 2	Клапан фланцевый проходной Ду125 ок.входа	521-35.3455-02	2	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан фланцевый угловой	склад 2	Клапан фланцевый угловой Ду40 Ру25 сталь ок.входа	522-35.445-19	2	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан запорный штуцерный проходной	склад 2	Клапан запорный штуцерный проходной Ду10 Ру16	521-35.2754	6	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан штуцерный проходной	склад 2	Клапан штуцерный проходной Ду10 Ру25 СТАЛЬ	521-3м-953	1	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан штуцерный проходной	склад 2	Клапан штуцерный проходной Ду10 Ру63 СТАЛЬ	522-03.134	1	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан штуцерный проходной	склад 2	Клапан штуцерный проходной Ду10 Ру400	521-35.3238	1	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан штуцерный проходной	склад 2	Клапан штуцерный проходной Ду10 Ру400	521-03.420	2	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан штуцерный проходной	склад 2	Клапан невозвратный штуцерный проходной Ду20Ру160	522-03.089	1	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан штуцерный проходной бессальниковый с герметизацией	склад 2	Клапан штуцерный проходной бессальниковый Ду15/1	521-35.2608-01	3	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан педальный	склад 2	Клапан педальный Ду25	М528-03.001	1	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан педальный	склад 2	Клапан педальный Ду25 новый приход	М528-03.001	62	новый	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан угловой с присоединением под дюрит	склад 2	Клапан угловой с присоединением под дюрит Ду50Ру4	521-03.445-04	4	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан невозв-запорн. с присоед. под дюрит проходной	склад 2	Клапан невозв-запорн. с присоед. под дюрит прох. Ду50 Ру6	522-03.124-04	1	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапана фланцевые проходные титановые	склад 2	Клапан фланцевый проходной титановый Ду50Ру10	521-182.110	5	новый	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапана фланцевые проходные титановые	склад 2	Клапан фланцевый проходной титановый Ду100Ру10	521-182.116	1	новый	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан цапковый угловой под дюрит	склад 2	Клапан невозв-запор. цапковый угловой под дюрит Ду20Ру6	522-03.123	2	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан самозакрывающий проходной муфтовый	склад 2	(Кнопка) Клапан самозакрывающий проходной муфтовый Ду15Ру3	528-35.176	1	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан дроссельный угловой штуцерный	склад 2	Клапан дроссельный угловой штуцерный	525-35.577	1	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан штуцерный угловой		Клапан штуцерный угловой Ду10 Р160	522-03,149	6	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан штуцерный угловой	склад 2	Клапан штуцерный угловой Ду15 Ру160	521-03.387	4	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан штуцерный угловой	склад 2	Клапан штуцерный угловой Ду20 Ру160	521-03.479	1	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан штуцерный угловой	склад 2	Клапан штуцерный угловой Ду20 Ру100	521-01.468-05	5	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан штуцерный угловой	склад 2	Клапан штуцерный угловой Ду32Ру100 (Ящик мет.)	521-01.468-07	31	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан штуцерный угловой	склад 2	Клапан штуцерный угловой Ду32Ру100 (Ящик мет.)	521-01.464-07	14	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан штуцерный угловой	склад 2	Клапан штуцерный угловой Ду32Ру100 (Ящик мет.)	521-01.464-06	1	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан штуцерный угловой	склад 2	Клапан штуцерный угловой Ду32Ру100 (Ящик мет.)	522-01.500-07	1	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан штуцерный угловой	склад 2	Клапан штуцерный угловой Рр150/10	521-ц22п	8	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан штуцерный угловой	склад 2	Клапан штуцерный угловой Ду25	521--01.468-08	1	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан штуцерный угловой	склад 2	Клапан штуцерный угловой Ду НЕРЖ	521-03.472-01	1	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан штуцерный угловой	склад 2	Клапан штуцерный угловой Ду25	521--35.3363	1	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан редукционный штуцерный угловой	склад 2	Клапан редукционный штуцерный угловой Ду10Ру200…30 с манометром	525-35.2634	1	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан редукционный штуцерный угловой	склад 2	Клапан редукционный штуцерный угловой Ду10Ру200…30 с манометром	525-35.2634-04	1	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан для манометра штуцерный сальниковый	склад 2	Клапан для манометра штуцерный сальниковый Ду6Ру100 новый	521-02.013	95	новый	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан для манометра штуцерный сальниковый	склад 2	Клапан для манометра штуцерный Ду3Ру400 новый	521-03.406	2	новый	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан редукционный проходной	склад 2	Клапан редукционный штуц. проход. односедельный Ду20Ру400 у входа	525-03.044	9	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан с электромагнитным ручным управлением	склад 2	Клапан с электромагнитным ручным управлением Ду20/10 перем. 220В	587-35.8490-04	1	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан с электромагнитным ручным управлением	склад 2	Клапан	587-182.126	1	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан фреоновый	склад 2	Клапан фреоновый соленоидный		2	новый	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан муфтовый проходной запорный	склад 2	Клапан муфтовый проходной запорный Ду32Ру10		1	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан муфтовый проходной запорный	склад 2	Клапан муфтовый проходной запорный Ду25Ру16	521-03.124	2	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан муфтовый проходной запорный	склад 2	Клапан муфтовый проходной запорный Ду20Ру16		1	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан предохранительный штуцерный сигнальный	склад 2	Клапан предохранительный штуцерный сигнальный Ду6 Ру100-230	524-35.2423-01	1	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан предохранительный штуцерный сигнальный	склад 2	Клапан предохранительный штуцерный сигнальный Ду6Ру100-250	524-03.188	2	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан предохранительный штуцерный сигнальный	склад 2	Клапан предохранительный штуцерный сигнальный Ду10Ру1,3-6,5	524-03.174	1	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан предохранительный штуцерный сигнальный	склад 2	Клапан предохранительный штуцерный сигнальный Ду10Ру2,5-6,5	524-03.173	1	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан пусковой		Клапан пусковой Ду20Ру125		7	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан пусковой		Клапан пусковой Ду32Ру125	587-03.082	8	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан предохранительный штуцерный угловой	склад 2	Клапан предохранительный штуцерный угловой Ду6,5-9	524-03.004	1	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан для колонки указательной	склад 2	Клапан для колонки указательной Ду10 Ру16	598-03.022-06	6	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан паровой	склад 2	Клапан паровой Ду65Ру10	581-03.034	1	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Эжектор	склад 2	Эжектор ВЭЖ 6,3		1	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Стакан переборочный	склад 2	Стакан переборочный Ду10Ру100	554-35.265	5	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Стакан переборочный	склад 2	Стакан переборочный Ду20Ру100	554-03.909-03	3	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Стакан переборочный	склад 2	Стакан переборочный Ду20Ру100	554-03.905-06	8	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Стакан переборочный	склад 2	Стакан переборочный Ду25Ру100	554-35.156	2	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан фланцевый концевой пожарный угловой	склад 2	Клапан фланц. концевой пожарный угловой Ду32 Ру10	595-03-006	1	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Клапан фланцевый концевой пожарный угловой	склад 2	Клапан фланц. концевой пожарный угловой Ду32 Ру16	595-01-010	2	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Коробка 3-х клапановая фланцевая невозврат.	склад 2	Коробка 3-х клап. фланцевая Ду50		3	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Коробка 3-х клапановая фланцевая невозврат.	склад 2	Коробка 3-х клап. фланцевая Ду80		8	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Коробка 3-х клапановая фланцевая невозврат.	склад 2	Коробка 3-х клап. фланцевая Ду100		1	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Коробка 2-х клапановая фланцевая	склад 2	Коробка 2-х клапановая фланцевая Ду50		2	новый	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Коробка 2-х клапановая фланцевая	склад 2	Коробка 2-х клапановая фланцевая Ду80		13	новый	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Фильтр фланц. прох. забортной воды	склад 2	Фильтр фланц. прох. забортной воды Ду100 Ру4	427-03-109-2	3	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Фланец приварной	склад 2	Фланец свободный Ду80	555-35.1755	12	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Фланец приварной		Фланец Ду65		39	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Прочее	склад 2	Сетка на фильтр Ду100 или Ду80		2	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Прочее	склад 2	Сетка на фильтр Ду100 (медь) на кингстон РС-300		2	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Прочее	склад 2	Сетка на фильтр Ду20 маленькая		1	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Кран штуцерный спусковой самозапорный проходной	склад 2	Кран штуцерный спусковой самозапорный проходной Ду15 Ру25		4	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Кран штуцерный спусковой самозапорный проходной	склад 2	Кран штуцерный спусковой самозапорный проходной Ду20 Ру10	528-3М129	36	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Кран двухходовой фланцевый	склад 2	Кран двухходовой фланцевый Ду32 Ру6	536-3М.72	1	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Кран трехходовой штуцерный	склад 2	Кран трехходовой штуцерный Ду32 Ру10	536-35.696	2	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Кран трехходовой штуцерный	склад 2	Кран трехходовой штуцерный Ду20 Ру16	536-35.695	7	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Кран двухходовой штуцерный	склад 2	Кран двухходовой штуцерный Ду20 Ру16	536-3М5	3	не указано	комплект	
Арматура (склады 1А, 1Б, 2, 3)	Котельная арматура	склад 2	Клапан Ду20/10	581-С6.73	3	не указано	комплект	
