Приоритет	Тип	Заголовок	Цена, руб	Категория Авито	Описание	Что входит	Локация	Нужны фото
2	отдельное	Контроллер КВ-00285(грузовая лебедка), б/у судовой	170 500	Оборудование для бизнеса / Промышленное	Контроллер КВ-00285(грузовая лебедка), б/у чертеж 1 В наличии 1 шт, Владивосток. Состояние: б/у. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Контроллер КВ-00285(грузовая лебедка), б/у — 1 шт	Склад 2	да
2	отдельное	Контроллер КВ1831 для шпиля Ш-3 судовой	140 000	Оборудование для бизнеса / Промышленное	Контроллер КВ1831 для шпиля Ш-3 чертеж 1 В наличии 1 шт, Владивосток. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Контроллер КВ1831 для шпиля Ш-3 — 1 шт	Склад 2	да
2	отдельное	Дверь ВГН 1800х750 правая черт.262-01-002.26	120 000	Запчасти и аксессуары / Водный транспорт	Дверь ВГН 1800х750 правая черт.262-01-002.26 В наличии 1 шт, Владивосток. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Дверь ВГН 1800х750 правая черт.262-01-002.26 — 1 шт	Гараж 1	да
2	отдельное	Дверь ВГН 1600х750 правая судовой	120 000	Запчасти и аксессуары / Водный транспорт	Дверь ВГН 1600х750 правая В наличии 1 шт, Владивосток. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Дверь ВГН 1600х750 правая — 1 шт	Гараж 1	да
2	отдельное	Клапан фланцевый проходной Ду200 Ру6 судовой	120 000	Оборудование для бизнеса / Промышленное	Клапан фланцевый проходной Ду200 Ру6 чертеж 522-03.184 В наличии 1 шт, Владивосток. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Клапан фланцевый проходной Ду200 Ру6 — 1 шт	Склад 3	да
2	отдельное	Фильтр забортной воды Ду 100 судовой	120 000	Оборудование для бизнеса / Промышленное	Фильтр забортной воды Ду 100 В наличии 1 шт, Владивосток. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Фильтр забортной воды Ду 100 — 1 шт	Фойе	да
2	отдельное	Контроллер КВ-00287(грузовая лебедка), б/у судовой	112 000	Оборудование для бизнеса / Промышленное	Контроллер КВ-00287(грузовая лебедка), б/у чертеж 1 В наличии 1 шт, Владивосток. Состояние: б/у. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Контроллер КВ-00287(грузовая лебедка), б/у — 1 шт	Склад 2	да
2	отдельное	Барабан СЦ-1,5 б/у ( в сборе) судовой	100 000	Оборудование для бизнеса / Промышленное	Барабан СЦ-1,5 б/у ( в сборе) В наличии 1 шт, Владивосток. Состояние: б/у. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Барабан СЦ-1,5 б/у ( в сборе) — 1 шт	Склад 2	да
2	отдельное	Насос пресновод.д/осушения танков 4390/4-588-001	100 000	Оборудование для бизнеса / Промышленное	Насос пресновод.д/осушения танков 4390/4-588-001 В наличии 1 шт, Владивосток. Состояние: новый. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Насос пресновод.д/осушения танков 4390/4-588-001 — 1 шт	Склад 2	да
2	отдельное	Контроллер (грузовая лебедка) большая б/у судовой	100 000	Оборудование для бизнеса / Промышленное	Контроллер (грузовая лебедка) большая б/у чертеж 1 В наличии 1 шт, Владивосток. Состояние: б/у. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Контроллер (грузовая лебедка) большая б/у — 1 шт	Склад 2	да
3	лот	Двигатели и ЗИП судовая, склад Владивосток	300	Оборудование для бизнеса / Промышленное	Судовое оборудование со склада во Владивостоке: двигатели и зип. | Всего 9 наименований, 47 единиц. | Цены от 300 до 80 000 руб за единицу. |  | Основные позиции: | - Крышка цилиндра 8НВД48А2У (голые) — 8 шт, 80 000 руб | - Уплотнение торц. 6АР 50Е, чертеж 8 — 8 шт, 22 000 руб | - Поршень 6ЧН25/34, чертеж 1 — 1 шт, 55 000 руб | - Фонарь выхлопной 8NVD48A2U, чертеж 1 — 1 шт, 11 500 руб | - Двигатель б/у на лапах — 1 шт, 10 000 руб | - Плунжерная пара 1ая/2ая модель, чертеж 2 — 2 шт, 4 000 руб | - Фильтр, чертеж 12 — 12 шт, 390 руб | - Фильтр, чертеж 12 — 12 шт, 300 руб | - Кулачковая шайба топливная, чертеж 2 — 2 шт, 750 руб |  | Продаем поштучно и лотом, на лот скидка. | Пришлем полный перечень с ценами и фото по запросу. | Самовывоз во Владивостоке или отправка транспортной компанией.	9 наименований, 47 единиц, на 910 280 руб	склад Владивосток	да, общий план и крупные позиции
3	лот	Такелаж и корпусное судовая, склад Владивосток	2 890	Оборудование для бизнеса / Промышленное	Судовое оборудование со склада во Владивостоке: такелаж и корпусное. | Всего 11 наименований, 33 единиц. | Цены от 2 890 до 40 000 руб за единицу. |  | Основные позиции: | - Диски тормозные ТДП-6А Ф400, чертеж 7 — 7 шт, 40 000 руб | - Диски тормозные 225мм, чертеж 11 — 11 шт, 4 890 руб | - Скобы разные ( 1 большая+ 2 маленькие ) — 3 шт, 10 000 руб | - Противовес 3,2т (Россия) — 1 шт, 28 600 руб | - Противовес 3,2т (Корея) — 1 шт, 28 600 руб | - Стекло с обогревом 560*800 б/у, чертеж 1 — 1 шт, 25 000 руб | - Диски тормозные 185мм, чертеж 2 — 2 шт, 10 000 руб | - Диски тормозные 170мм, чертеж 4 — 4 шт, 2 890 руб | - Диски тормозные 310мм, чертеж 1 — 1 шт, 9 890 руб | - Диски тормозные 260мм, чертеж 1 — 1 шт, 5 100 руб | - Гак — 1 шт, 3 000 руб |  | Продаем поштучно и лотом, на лот скидка. | Пришлем полный перечень с ценами и фото по запросу. | Самовывоз во Владивостоке или отправка транспортной компанией.	11 наименований, 33 единиц, на 495 540 руб	склад Владивосток	да, общий план и крупные позиции
3	лот	Краны судовая, склад Владивосток	4 000	Оборудование для бизнеса / Промышленное	Судовое оборудование со склада во Владивостоке: краны. | Всего 6 наименований, 53 единиц. | Цены от 4 000 до 14 400 руб за единицу. |  | Основные позиции: | - Кран штуцерный спусковой самозапорный проходной Ду20 Ру10, чертеж 528-3М129 — 36 шт, 9 000 руб | - Кран трехходовой штуцерный Ду20 Ру16, чертеж 536-35.695 — 7 шт, 9 000 руб | - Кран штуцерный спусковой самозапорный проходной Ду15 Ру25 — 4 шт, 7 500 руб | - Кран трехходовой штуцерный Ду32 Ру10, чертеж 536-35.696 — 2 шт, 14 400 руб | - Кран двухходовой штуцерный Ду20 Ру16, чертеж 536-3М5 — 3 шт, 4 000 руб | - Кран двухходовой фланцевый Ду32 Ру6, чертеж 536-3М.72 — 1 шт, 9 600 руб |  | Продаем поштучно и лотом, на лот скидка. | Пришлем полный перечень с ценами и фото по запросу. | Самовывоз во Владивостоке или отправка транспортной компанией.	6 наименований, 53 единиц, на 467 400 руб	склад Владивосток	да, общий план и крупные позиции
3	лот	Захлопки судовая, склад Владивосток	17 500	Оборудование для бизнеса / Промышленное	Судовое оборудование со склада во Владивостоке: захлопки. | Всего 7 наименований, 11 единиц. | Цены от 17 500 до 40 000 руб за единицу. |  | Основные позиции: | - Захлопка фланцевая горизон. Ду100 Ру10, чертеж 529-03.074 — 3 шт, 40 000 руб | - Захлопка Ду50Ру6 - БРАК — 3 шт, 17 500 руб | - Захлопка фланцевая проходная Ду100Ру6,3, чертеж 529-35.1406-01 — 1 шт, 40 000 руб | - Захлопка фланцевая вертикальная Ду100, чертеж 529-03.003 — 1 шт, 40 000 руб | - Захлопка фланцевая угловая Ду100Ру10, чертеж 529-35-1405-01 — 1 шт, 40 000 руб | - Захлопка фланцевая вертикальная Ду50Ру63, чертеж 529-35.1400-01 — 1 шт, 25 000 руб | - Захлопка фланцевая горизонтальная Ду50, чертеж 529-03.011 — 1 шт, 25 000 руб |  | Продаем поштучно и лотом, на лот скидка. | Пришлем полный перечень с ценами и фото по запросу. | Самовывоз во Владивостоке или отправка транспортной компанией.	7 наименований, 11 единиц, на 342 500 руб	склад Владивосток	да, общий план и крупные позиции
3	лот	Насосы судовая, склад Владивосток	3 500	Оборудование для бизнеса / Промышленное	Судовое оборудование со склада во Владивостоке: насосы. | Всего 5 наименований, 26 единиц. | Цены от 3 500 до 50 000 руб за единицу. |  | Основные позиции: | - Насос — 2 шт, 50 000 руб | - Поплавок НЦВС 40/20, чертеж 20 — 20 шт, 3 500 руб | - Насос ТНВД с регулятором АК-7 327-20-1Н/ АК-7 315-619-2Н, чертеж 1 — 1 шт, 40 000 руб | - Сальниковая обойма нижняя часть НЦВС 63/20, чертеж 2 — 2 шт, 15 000 руб | - Колесо рабочее для Насос НЦВ 40/20, чертеж 1 — 1 шт, 19 800 руб |  | Продаем поштучно и лотом, на лот скидка. | Пришлем полный перечень с ценами и фото по запросу. | Самовывоз во Владивостоке или отправка транспортной компанией.	5 наименований, 26 единиц, на 259 800 руб	склад Владивосток	да, общий план и крупные позиции
3	лот	Сепараторы и барабаны судовая, склад Владивосток	70 000	Оборудование для бизнеса / Промышленное	Судовое оборудование со склада во Владивостоке: сепараторы и барабаны. | Всего 1 наименований, 3 единиц. | Цены от 70 000 до 70 000 руб за единицу. |  | Основные позиции: | - Барабан СЦ-1,5 б/у КОРПУС БАРАБАНА — 3 шт, 70 000 руб |  | Продаем поштучно и лотом, на лот скидка. | Пришлем полный перечень с ценами и фото по запросу. | Самовывоз во Владивостоке или отправка транспортной компанией.	1 наименований, 3 единиц, на 210 000 руб	склад Владивосток	да, общий план и крупные позиции
3	лот	Трансформаторы и питание судовая, склад	3 500	Оборудование для бизнеса / Промышленное	Судовое оборудование со склада во Владивостоке: трансформаторы и питание. | Всего 6 наименований, 12 единиц. | Цены от 3 500 до 57 445 руб за единицу. |  | Основные позиции: | - Трансформатор ОСЗ-10/0,5 10кВт 50Hz — 2 шт, 57 445 руб | - Воздухораспределитель поворотный 542 77 1 105, чертеж 6 — 6 шт, 7 540 руб | - Трансформатор ОСВМ-2,5-74 50Hz — 1 шт, 10 000 руб | - Трансформатор ОСВМ-0,63-74 — 1 шт, 10 000 руб | - Трансформатор ОСВ-0,5 50Hz — 1 шт, 5 500 руб | - Трансформатор ОСВМ-0,65-74 ОМ5, чертеж 1 — 1 шт, 3 500 руб |  | Продаем поштучно и лотом, на лот скидка. | Пришлем полный перечень с ценами и фото по запросу. | Самовывоз во Владивостоке или отправка транспортной компанией.	6 наименований, 12 единиц, на 189 130 руб	склад Владивосток	да, общий план и крупные позиции
3	лот	Крышки и люки судовая, склад Владивосток	10 000	Запчасти и аксессуары / Водный транспорт	Судовое оборудование со склада во Владивостоке: крышки и люки. | Всего 3 наименований, 4 единиц. | Цены от 10 000 до 75 000 руб за единицу. |  | Основные позиции: | - Крышка ВГН 800*800 (Проницаемая) — 1 шт, 75 000 руб | - Крышка ВГН 450*600 (задрайка) РОССИЯ б/у — 1 шт, 50 000 руб | - Крышка иллюминатора со стеклом Ф300мм броняшка — 2 шт, 10 000 руб |  | Продаем поштучно и лотом, на лот скидка. | Пришлем полный перечень с ценами и фото по запросу. | Самовывоз во Владивостоке или отправка транспортной компанией.	3 наименований, 4 единиц, на 145 000 руб	склад Владивосток	да, общий план и крупные позиции
3	лот	Лампы и предохранители судовая, склад Владивосток	20	Оборудование для бизнеса / Промышленное	Судовое оборудование со склада во Владивостоке: лампы и предохранители. | Всего 6 наименований, 1776 единиц. | Цены от 20 до 115 руб за единицу. |  | Основные позиции: | - Лампочки накаливания В15s/18, чертеж 799 — 799 шт, 115 руб | - Предохранитель ПВД 40А, чертеж 300 — 300 шт, 50 руб | - Лампочки накаливания 6V 21W BA15s, чертеж 100 — 100 шт, 100 руб | - Лампа Б230*35Вт, чертеж 462 — 462 шт, 20 руб | - Лампочки, чертеж 85 — 85 шт, 50 руб | - Лампочка HQ-T 400Вт Е40 — 30 шт, 100 руб |  | Продаем поштучно и лотом, на лот скидка. | Пришлем полный перечень с ценами и фото по запросу. | Самовывоз во Владивостоке или отправка транспортной компанией.	6 наименований, 1776 единиц, на 133 375 руб	склад Владивосток	да, общий план и крупные позиции
3	лот	Кингстоны судовая, склад Владивосток	10 000	Оборудование для бизнеса / Промышленное	Судовое оборудование со склада во Владивостоке: кингстоны. | Всего 4 наименований, 6 единиц. | Цены от 10 000 до 32 000 руб за единицу. |  | Основные позиции: | - Кингстон донный фланцевый Ду80 Ру2,5, чертеж 527-03.055 — 2 шт, 32 000 руб | - Сетка на фильтр Ду100 (медь) на кингстон РС-300 — 2 шт, 10 000 руб | - Кингстон донный фланцевый Ду50 Ру2,5, чертеж без чертежа — 1 шт, 17 500 руб | - Кингстон донный фланцевый Ду50 Ру2,5, чертеж 527-03.054 — 1 шт, 17 500 руб |  | Продаем поштучно и лотом, на лот скидка. | Пришлем полный перечень с ценами и фото по запросу. | Самовывоз во Владивостоке или отправка транспортной компанией.	4 наименований, 6 единиц, на 119 000 руб	склад Владивосток	да, общий план и крупные позиции
3	лот	Фильтры забортной воды судовая, склад Владивосток	3 000	Оборудование для бизнеса / Промышленное	Судовое оборудование со склада во Владивостоке: фильтры забортной воды. | Всего 3 наименований, 4 единиц. | Цены от 3 000 до 60 000 руб за единицу. |  | Основные позиции: | - Фильтр забортной воды Ду 50 — 1 шт, 60 000 руб | - Сетка на фильтр Ду100 или Ду80 — 2 шт, 10 000 руб | - Сетка на фильтр Ду20 маленькая — 1 шт, 3 000 руб |  | Продаем поштучно и лотом, на лот скидка. | Пришлем полный перечень с ценами и фото по запросу. | Самовывоз во Владивостоке или отправка транспортной компанией.	3 наименований, 4 единиц, на 83 000 руб	склад Владивосток	да, общий план и крупные позиции
3	лот	Фланцы, стаканы, гайки судовая, склад Владивосток	2 900	Оборудование для бизнеса / Промышленное	Судовое оборудование со склада во Владивостоке: фланцы, стаканы, гайки. | Всего 1 наименований, 2 единиц. | Цены от 2 900 до 2 900 руб за единицу. |  | Основные позиции: | - Гайка рабочего колеса для Насос НЦВ 40/20, чертеж 2 — 2 шт, 2 900 руб |  | Продаем поштучно и лотом, на лот скидка. | Пришлем полный перечень с ценами и фото по запросу. | Самовывоз во Владивостоке или отправка транспортной компанией.	1 наименований, 2 единиц, на 5 800 руб	склад Владивосток	да, общий план и крупные позиции
9	проверить	Регулятор РТНД-150 судовой	1 150 000	Оборудование для бизнеса / Промышленное	НЕ ПУБЛИКОВАТЬ, ПОКА НЕ ПРОВЕРЕНО НАЛИЧИЕ. Регулятор РТНД-150 В наличии 3 шт, Владивосток. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Регулятор РТНД-150 — 3 шт	Склад 2	да
