Локация	Группа	Наименование	Чертеж	Кол-во по учету	Наличие	Цена за ед., руб	Сумма, руб	Состояние	Комплектность	Происхождение	Примечание	Сумма по наличию
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 50 2МГ 10А	115	115	115	4004	460460	не указано	комплект			460460
Гараж 2		Компрессор 2ОК1 синий		1	1	450000	450000	не указано	комплект			450000
Склад 1А/1Б		Клапан фланцевый проходной Ду200		3	3	150000	450000	не указано	комплект			450000
Склад 3	Задвижка клинкетная(бронза)	Задвижка клинкетная Ду65		16	16	27000	432000	не указано	комплект			432000
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 20 Ру 40	522-01.501-02	72	72	6000	432000	не указано	комплект			432000
Склад 2	Клапан для манометра штущерный сальниковый	Клапан для манометра штущерный сальниковый Ду6Ру100 новый	521-02.013	95	95	4500	427500	новый	комплект			427500
Склад 3	Клапан штуцерный проходной	Клапан штущерный проходной Ду15		44	44	9500	418000	не указано	комплект			418000
Гараж 1		Коленвал 18/22		1	1	400000	400000	не указано	комплект			400000
Гараж 2		Весы для ЛБАШ ( похоже на вентиляцию )		4	4	100000	400000	не указано	комплект			400000
Фойе	Клапан проходной штуцерный Ду32	Фильтр забортной воды Ду 300			1	400000	400000	не указано	комплект			400000
Фойе	Клапан проходной штуцерный Ду32	Клинкет Ду 250		6	2	200000	400000	не указано	комплект			400000
Фойе	Клапан проходной штуцерный Ду32	Клинкет Ду 250 не комплект			2	200000	400000	не указано	не комплект			400000
Гараж 2		Дверь легкая 1750*650 левая с иллюминатором		13	13	30000	390000	не указано	комплект			390000
Фойе		Сепаратор СЦ-1,5 с двигателем б/у		2	1	380000	380000	б/у	комплект			380000
Менеджерская	Клапан штуцерный угловой Ду6Ру100	Клапан штуцерный угловой Ду32 Ру100	521-01.468-07	39	39	9600	374400	не указано	комплект			374400
Склад 2	Фильтр фланц.прох. забортной воды Ду80	Фильтр фланц.прох. забортной воды Ду100 Ру4	427-03-109-2	3	3	120000	360000	не указано	комплект			360000
Гараж 2		Дверь ВГН 1400*600 КИТАЙ правая		5	5	70000	350000	не указано	комплект	Китай		350000
Склад 2	Кран штуцерный спусковой самозапорный проходной	Кран штуцерный спусковой самозапорный проходной Ду20 Ру10	528-3М129	36	36	9000	324000	не указано	комплект			324000
Склад 3	Клапан фланцевый угловой (бронза)	Клапан фланцевый угловой Ду65 Ру10	521-03.195	12	12	27000	324000	не указано	комплект			324000
Фойе	Клапан проходной штуцерный Ду32	Клинкет Ду 350			1	300000	300000	не указано	комплект			300000
Склад 2	Клапан штуцерный угловой Ду10 Ру100	Клапан штуцерный угловой Ду32Ру100 (Яшик мет.)	521-01.468-07	31	31	9600	297600	не указано	комплект			297600
Склад 3	Клапан штуцерный проходной	Клапан штуцерный проходной Ду 10		83	83	3500	290500	не указано	комплект			290500
Склад 3	ЭЛЕКТРИКА	Водонагреватель ВЭС-300 ОМ5 220 V (щит управ+провода+термометр)	1	1	1	285000	285000	не указано	комплект			285000
Гараж 2		Дверь ВГН 1400*600 КИТАЙ левая		4	4	70000	280000	не указано	комплект	Китай		280000
Склад 3	ЭЛЕКТРИКА	Диски тормозные ТДП-6А Ф400	7	7	7	40000	280000	не указано	комплект			280000
Склад 3	Клапана фланцевые проходные	Клапан фланцевый проходной Ду125		6	6	46000	276000	не указано	комплект			276000
Склад 1А/1Б		Головка воздушно-квадрат.(поплавковая) Ду80 (541-03.218)		19	19	14000	266000	не указано	комплект			266000
Склад 1А/1Б		Грибки АМГ Ду 175 (541-03.316-03)		10	10	25000	250000	не указано	комплект			250000
Фойе		Плита камбузная ПКЭ-50 (разобранная) мастерская б/у		1	1	250000	250000	б/у	комплект		цена новой плиты	250000
Фойе		Плита камбузная ПКЭ-50 +щит+ограничитель (мастерская) б/у		1	1	250000	250000	б/у	комплект			250000
Фойе		Плита камбузная ПКЭ-50 б/у		1	1	250000	250000	б/у	комплект			250000
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 50 3МГ 16А	57	57	57	4347	247779	не указано	комплект			247779
Склад 3	Клапан фланцевый угловой (бронза)	Клапан фланцевый угловой Ду80	522-03.197	7	7	34000	238000	не указано	комплект			238000
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 50 3МГ 5А	57	57	57	4004	228228	не указано	комплект			228228
Склад 3	Задвижка клинкетная(бронза)	Задвижка клинкетная Ду100		6	6	38000	228000	не указано	комплект			228000
Склад 3	Клапана фланцевые проходные	Клапан фланцевый проходной Ду80		6	6	36000	216000	не указано	комплект			216000
Склад 2	Барабан	Барабан СЦ-1,5 б/у КОРПУС БАРАБАНА		3	3	70000	210000	б/у	комплект			210000
Склад 3	Клапана фланцевые проходные	Клапан фланцевый проходной Ду100 Ру10		5	5	42000	210000	не указано	комплект			210000
Гараж 2		Насос ЭСН-11А пост. 175/320В, 9,6/19,5кВт, 2400/3750 об/м		1	1	200000	200000	не указано	комплект			200000
Гараж 2		Ротор ?		1	1	200000	200000	не указано	комплект			200000
Склад 2	Барабан	Барабан СЦ-3 б/у КОРПУС БАРАБАНА		2	2	100000	200000	б/у	комплект			200000
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 50 3МГ 20А	42	42	42	4682	196644	не указано	комплект			196644
Склад 3	Задвижка клинкетная(бронза)	Задвижка клинкетная фланцевая Ду70 Ру6		7	7	27000	189000	не указано	комплект			189000
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. ТИП А377 2БР 160А 380V	22	22	22	8500	187000	не указано	комплект			187000
Склад 3	Насосы	Насос ЭВН 5/5		1	1	184668	184668	не указано	комплект			184668
Склад 3	Клапан быстрозапор. фланц. проход. с тросиков. приводом	Клапан быстрозапор. фланц. проход. с тросиков. приводом Ду40Ру6,3	521-03.020	7	7	26000	182000	не указано	комплект			182000
Фойе		Светильник СС-410 б/у		10	10	18000	180000	б/у	комплект			180000
Склад 3	ЗИП	Уплотнение торц. 6АР 50Е	8	8	8	22000	176000	не указано	комплект			176000
Склад 3	Клапан быстрозапор. фланц. проход. с тросиков. приводом	Клапан быстрозапор. фланц. проход. с тросиков. приводом Ду65Ру6,3	521-03.022	5	5	35000	175000	не указано	комплект			175000
Склад 2	ЭЛЕКТРИКА	Контроллер КВ-00285(грузовая лебедка), б/у	1		1	170500	170500	б/у	комплект			170500
Склад 1А/1Б		Клапана невозвратный проходной фланцевый Ду100 Ру10 (522-03.205)		5	5	34000	170000	не указано	комплект			170000
Склад 3	Клапан фланцевый угловой (бронза)	Клапан фланцевый угловой Ду65 Ру10	522-35.4154-02	6	6	27000	162000	не указано	комплект			162000
Склад 3	Клапана фланцевые проходные	Клапан фланцевый проходной Ду150		2	2	80000	160000	не указано	комплект			160000
Склад 3	Клапан фланцевый угловой (бронза)	Клапан фланцевый угловой Ду50 Ру25	СВ/Т3197-95В25050	7	7	22500	157500	не указано	комплект			157500
Склад 1А/1Б		Клапан проходной фланцевый Ду40 - БРАК		13	13	12000	156000	не указано	брак			156000
Менеджерская	Клапан штуцерный угловой Ду6Ру100	КМ 2351-8Д	47	39	39	4000	156000	не указано	комплект			156000
Менеджерская	Клапан штуцерный угловой Ду6Ру100	Клапан штуцерный угловой Ду32 Ру160	521-03.480	16	16	9600	153600	не указано	комплект			153600
Фойе		Светильник СС328 (ок. стены)		76	76	2000	152000	не указано	комплект			152000
Склад 1А/1Б		Головка воздушно-квадрат.(поплавковая) Ду125 (без поплавка) (541-03.220)		6	6	25000	150000	не указано	не комплект			150000
Склад 2	Задвижка клинкетная фланцевая Ду200 Ру6	Задвижка клинкетная стальная Ду300	544-03.067	2	2	75000	150000	не указано	комплект			150000
Склад 3	Клапана фланцевые проходные	Клапан фланцевый проходной Ду70 Ру10	521-01.184	5	5	30000	150000	не указано	комплект			150000
Склад 1А/1Б		Клапан проходной фланцевый Ду50 - БРАК		8	8	18000	144000	не указано	брак			144000
Склад 3	Клапан фланцевый угловой (бронза)	Клапан фланцевый угловой Ду25	521-3М539	15	15	9600	144000	не указано	комплект			144000
Склад 2	ЭЛЕКТРИКА	Контроллер КВ1831 для шпиля Ш-3	1		1	140000	140000	не указано	комплект			140000
Склад 3	Коробка 2-х клапановая фланцевая	Коробка 2-х клапановая фланцевая Ду50		4	4	35000	140000	новый	комплект			140000
Склад 3	Клапана фланцевые проходные	Клапан фланцевый проходной Ду125 Ру10		3	3	46000	138000	не указано	комплект			138000
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 20 Ру 40	521 3м 58	23	23	6000	138000	не указано	комплект			138000
Контейнер 2		Иллюминатор круглый в сборе Ф250мм		3	3	45000	135000	не указано	комплект			135000
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 50 3МГ 31,5А	31	31	31	4347	134757	не указано	комплект			134757
Склад 2	Клапан штуцерный угловой Ду10 Ру100	Клапан штуцерный угловой Ду32Ру100 (Яшик мет.)	521-01.464-07	14	14	9600	134400	не указано	комплект			134400
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 20 Ру 100	521-01.498-03	21	21	6000	126000	не указано	комплект			126000
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. ТИП А377 2БР 63А 380V	10	10	10	12295	122950	не указано	комплект			122950
Гараж 1		Дверь ВГН 1800х750 правая черт.262-01-002.26		1	1	120000	120000	не указано	комплект			120000
Гараж 1		Дверь ВГН 1600х750 правая		1	1	120000	120000	не указано	комплект			120000
Склад 2	Захлопки	Захлопка фланцевая горизон. Ду100 Ру10	529-03.074	3	3	40000	120000	не указано	комплект			120000
Склад 2	Клапана быстрозапорн.фланцевые проходные	Клапан быстрозапор. фланц.проход.с тросиков.приводом Ду70 Ру6,3	БЕЗ ЧЕРТЕЖА	3	3	40000	120000	не указано	комплект			120000
Склад 3	Клапана фланцевые проходные	Клапан фланцевый проходной Ду200 Ру6	522-03.184	1	1	120000	120000	не указано	комплект			120000
Склад 3	Коробка 2-х клапановая фланцевая	Коробка 2-х клапановая фланцевая Ду80	526-03.163	2	2	60000	120000	новый	комплект			120000
Фойе	Клапан проходной штуцерный Ду32	Фильтр забортной воды Ду 100			1	120000	120000	не указано	комплект			120000
Гараж 1		Трансформатор ОСЗ-10/0,5 10кВт 50Hz		2	2	57445	114890	не указано	комплект			114890
Склад 3	Клапана фланцевые проходные	Клапан фланцевый проходной Ду50 Ру25	521-01.128	5	5	22500	112500	не указано	комплект			112500
Склад 2	ЭЛЕКТРИКА	Контроллер КВ-00287(грузовая лебедка), б/у	1		1	112000	112000	б/у	комплект			112000
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан для манометра штуцерный сальниковый	521-34.3404-03	18	18	6000	108000	не указано	комплект			108000
Фойе		Светильник СС373 в сборе		21	21	5000	105000	не указано	комплект			105000
Склад 3	ЭЛЕКТРИКА	Коробка соединительная Т9-4М	51	51	51	1980	100980	не указано	комплект			100980
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 25 2МГ 10А	25	25	25	4004	100100	не указано	комплект			100100
Гараж 1		Пульт 1-маленький 1-большой		2	2	50000	100000	не указано	комплект			100000
Гараж 1		Дверь ВГН 1400*600 КИТАЙ правая		2	2	50000	100000	не указано	комплект	Китай		100000
Гараж 2		Насос		2	2	50000	100000	не указано	комплект			100000
Склад 2	Барабан	Барабан СЦ-1,5 б/у ( в сборе)		1	1	100000	100000	б/у	комплект			100000
Склад 2	Насосы	Насос пресновод.д/осушения танков 4390/4-588-001		1	1	100000	100000	новый	комплект			100000
Склад 2	ЭЛЕКТРИКА	Контроллер (грузовая лебедка) большая б/у	1		1	100000	100000	б/у	комплект			100000
Склад 3	Колонка указательная с плоским рифленым стеклом	Колонка указательная с плоским рифленым стеклом Ду10Ру10	598-03.083-01	16	16	6000	96000	не указано	комплект			96000
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 20 Ру 100	522-01.498-02	16	16	6000	96000	не указано	комплект			96000
Склад 3	ЭЛЕКТРИКА	Лампочки накаливания В15s/18	799	799	799	115	91885	не указано	комплект			91885
Контейнер 2		Иллюминатор круглый без колец Ф300мм		2	2	45000	90000	не указано	не комплект			90000
Склад 2	Клапана быстрозапорн.фланцевые проходные	Клапан быстрозапор. фланц.проход.с тросиков.приводом Ду80 Ру6,3	521-03.023	2	2	45000	90000	не указано	комплект			90000
Склад 3	Клапан штуцерный угловой	Клапан штуцерный угловой Ду15		10	10	9000	90000	не указано	комплект			90000
Менеджерская	Клапан штуцерный угловой Ду6Ру100	Клапан штуцерный угловой Ду15 Ру100	521-01.468-05	15	15	6000	90000	не указано	комплект			90000
Склад 3	Коробка 2-х клапановая фланцевая	Коробка 2-х клапановая фланцевая Ду80		2	2	44000	88000	новый	комплект			88000
Менеджерская	Клапан штуцерный угловой Ду6Ру100	КПМ-121 ОМ	4	4	4	21750	87000	не указано	комплект			87000
Склад 3	Клапана фланцевые проходные	Клапан фланцевый проходной ДУ32 Ру25	521-01.180	6	6	14000	84000	не указано	комплект			84000
Склад 3	Клапан фланцевый угловой (бронза)	Клапан фланцевый угловой Ду65 Ру10	522-35.4201	3	3	27000	81000	не указано	комплект			81000
Контейнер 1		Светильник импортный		80	80	1000	80000	не указано	комплект			80000
Склад 3	Клапана фланцевые проходные	Клапан фланцевый проходной ДУ20 Ру25	521-3М.324	8	8	10000	80000	не указано	комплект			80000
Склад 3	Клапан фланцевый угловой (бронза)	Клапан фланцевый угловой Ду150 Ру10		1	1	80000	80000	не указано	комплект			80000
Склад 3	Клапан фланцевый угловой (бронза)	Клапан фланцевый угловой Ду150 Ру10	521-01.207	1	1	80000	80000	не указано	комплект			80000
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 20 Ру 100	521-01.470-02	13	13	6000	78000	не указано	комплект			78000
Склад 3	ЭЛЕКТРИКА	Резинки для СС328	405	405	405	190	76950	не указано	комплект			76950
Склад 3	Клапан штуцерный угловой	Клапан штуцерный угловой Ду32		8	8	9600	76800	не указано	комплект			76800
Менеджерская	Клапан штуцерный угловой Ду6Ру100	Клапан штуцерный угловой Ду32 Ру160	522-03.151-01	8	8	9600	76800	не указано	комплект			76800
Фойе		Светильник СС328 без амортизаторов (китай) 1-й приход		50	50	1533	76650	не указано	не комплект	Китай		76650
Гараж 1		Крышка ВГН 800*800 (Проницаемая)		1	1	75000	75000	не указано	комплект			75000
Склад 2	Клапан фланцевый проходной	Клапан фланцевый проходной Ду125 ок.входа	521-35.3455-02	2	2	37500	75000	не указано	комплект			75000
Менеджерская	Клапан штуцерный угловой Ду6Ру100	Клапан Пожарный фланцевый угловой Ду50 Ру16	595-03.011	3	3	25000	75000	не указано	комплект			75000
Менеджерская	Клапан штуцерный угловой Ду6Ру100	КМ 2311-9	15	20	20	3700	74000	не указано	комплект			74000
Гараж 1		Двери АМГ 1400*600 с иллюминат. б/у правая		1	1	70000	70000	б/у	комплект			70000
Склад 1А/1Б		Задвижка клинкетная Ду 100 БРОНЗА		2	2	35000	70000	не указано	комплект			70000
Склад 3	ЗИП	Поплавок НЦВС 40/20	20	20	20	3500	70000	не указано	комплект			70000
Менеджерская	Клапан штуцерный угловой Ду6Ру100	КМ 2351-9	8	17	17	4000	68000	не указано	комплект			68000
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 20 Ру 40	521-01474-03	11	11	6000	66000	не указано	комплект			66000
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 20 Ру 40	521 3м 623	11	11	6000	66000	не указано	комплект			66000
Гараж 1		Дверь ВГН 1300*500 правая		1	1	65000	65000	не указано	комплект			65000
Склад 3	Кингстон	Кингстон донный фланцевый Ду80 Ру2,5	527-03.055	2	2	32000	64000	не указано	комплект			64000
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 50 2МГ 5А	19	19	19	3361	63859	не указано	комплект			63859
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 50 2МГ 1А	16	16	16	3942	63072	не указано	комплект			63072
Склад 2	Кран трехходовой штуцерный	Кран трехходовой штуцерный Ду20 Ру16	536-35.695	7	7	9000	63000	не указано	комплект			63000
Контейнер 1		Пускатели разные на полке		6	6	10000	60000	не указано	комплект			60000
Склад 1А/1Б		Клапан проходной фланцевый Ду32 - БРАК		6	6	10000	60000	не указано	брак			60000
Склад 3	Клапана фланцевые проходные	Клапан фланцевый проходной Ду70 Ру10	522-01.226	2	2	30000	60000	не указано	комплект			60000
Менеджерская	Клапан штуцерный угловой Ду6Ру100	Клапан штуцерный угловой Ду25 Ру100	521-01.468-06	8	8	7500	60000	не указано	комплект			60000
Фойе	Клапан проходной штуцерный Ду32	Фильтр забортной воды Ду 50			1	60000	60000	не указано	комплект			60000
Фойе	Клапан проходной штуцерный Ду32	Клинкет Ду 100, сталь		59	2	30000	60000	не указано	комплект			60000
Контейнер 1		Симметр 127/220В		1	1	59800	59800	не указано	комплект			59800
Склад 3	ЭЛЕКТРИКА	СЯ10-2-0 ящик соединительный	8	8	8	6900	55200	не указано	комплект			55200
Склад 3	ЗИП	Поршень 6ЧН25/34	1	1	1	55000	55000	не указано	комплект			55000
Склад 1А/1Б		Клапан угловой фланцевый Ду 40 - БРАК		3	3	18000	54000	не указано	брак			54000
Склад 1А/1Б		Грибки АМГ Ду 150 (верхние) (541-03.315-02)		3	3	18000	54000	не указано	комплект			54000
Склад 2	Клапан штуцерный проходной	Клапан штуцерный проходной Ду 10 Ру40	521-01.471-01	18	18	3000	54000	не указано	комплект			54000
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 20 Ру 100	522-01500-05	9	9	6000	54000	не указано	комплект			54000
Склад 3	ЭЛЕКТРИКА	Диски тормозные 225мм	11	11	11	4890	53790	не указано	комплект			53790
Склад 1А/1Б		Захлопка Ду50Ру6 - БРАК		3	3	17500	52500	не указано	брак			52500
Гараж 1		Крышка ВГН 450*600 (задрайка) РОССИЯ б/у		1	1	50000	50000	б/у	комплект	Россия		50000
Гараж 1		Дверь ВГН 1400*600 КИТАЙ левая		1	1	50000	50000	не указано	комплект	Китай		50000
Гараж 2		Электропривод к задвижке		1	1	50000	50000	не указано	комплект			50000
Контейнер 2		Иллюминатор квадратный 400*600		1	1	50000	50000	не указано	комплект			50000
Контейнер 2		Иллюминатор створч. Ф300мм КИТАЙ		1	1	50000	50000	не указано	комплект	Китай		50000
Менеджерская	Клапан штуцерный угловой Ду6Ру100	Клапан Пожарный фланцевый угловой Ду50 Ру16	без чертежа	2	2	25000	50000	не указано	комплект			50000
Склад 1А/1Б		Задвижка клинкетная Ду80 ( в разборе)		2	2	24000	48000	не указано	не комплект			48000
Склад 3	ЭЛЕКТРИКА	Воздухораспределитель поворотный 542 77 1 105	6	6	6	7540	45240	не указано	комплект			45240
Склад 1А/1Б		Клапан невозвратно-приемный фланцевый Ду 50 Ру1 (522-35.4043-01)		6	6	7500	45000	не указано	комплект			45000
Склад 3	Клапан штуцерный угловой	Клапан штуцерный угловой Ду25		6	6	7500	45000	не указано	комплект			45000
Менеджерская	Клапан штуцерный угловой Ду6Ру100	Клапан Пожарный фланцевый проходной Ду50 Ру16	595-01.002	2	2	22500	45000	не указано	комплект			45000
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 20 Ру 100	521-01464-03	7	7	6000	42000	не указано	комплект			42000
Менеджерская	Клапан штуцерный угловой Ду6Ру100	Клапан штуцерный угловой Ду15Ру100	521-01.468	7	7	6000	42000	не указано	комплект			42000
Склад 3	ЭЛЕКТРИКА	РШ2-41	57	57	57	730	41610	не указано	комплект			41610
Склад 3	ЭЛЕКТРИКА	КВП Коробка соединительная КВП4-1,5 10А 380А	30	30	30	1380	41400	не указано	комплект			41400
Склад 1А/1Б		Грибки Ду200 (б/у) (541-03.313-04)		2	2	20000	40000	б/у	комплект			40000
Склад 1А/1Б		Грибки АМГ Ду 200 с нижнем приводом (541-03.313-04)		2	2	20000	40000	не указано	комплект			40000
Склад 2	Захлопки	Захлопка фланцевая проходная Ду100Ру6,3	529-35.1406-01	1	1	40000	40000	не указано	комплект			40000
Склад 2	Захлопки	Захлопка фланцевая вертикальная Ду100	529-03.003	1	1	40000	40000	не указано	комплект			40000
Склад 2	Захлопки	Захлопка фланцевая угловая Ду100Ру10	529-35-1405-01	1	1	40000	40000	не указано	комплект			40000
Склад 2	Клапан угловой с присоединением под дюрит	Клапан угловой с присоединением под дюрит Ду50Ру4	521-03.445-04	4	4	10000	40000	не указано	комплект			40000
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. ТИП А37 92БР 2100А 380V	2	2	2	20000	40000	не указано	комплект			40000
Склад 3	ЗИП	Насос ТНВД с регулятором АК-7 327-20-1Н/ АК-7 315-619-2Н	1	1	1	40000	40000	не указано	комплект			40000
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 32 Ру 40	521.3м.660	3	3	12500	37500	не указано	комплект			37500
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 50 3МГ 2А	8	8	8	4682	37456	не указано	комплект			37456
Склад 1А/1Б		Клапан проходной ДУ 125 корпус		1	1	37000	37000	не указано	комплект			37000
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. ТИП А377 6БР 160А 380V	3	3	3	12295	36885	не указано	комплект			36885
