Локация	Товарная группа	Подгруппа	Группа в файле	Оборудование	Наименование	Чертеж	Кол-во по учету	Наличие	Цена за ед., руб	Сумма, руб	Состояние	Комплектность	Происхождение	Примечание	Сумма по наличию
Склад 1А/1Б	Арматура	Клапаны			Клапан угловой фланцевый Ду 40 - БРАК		3	3	18000	54000	не указано	брак			54000
Склад 1А/1Б	Арматура	Захлопки			Захлопка Ду50Ру6 - БРАК		3	3	17500	52500	не указано	брак			52500
Склад 1А/1Б	Трубопроводная обвязка	Головки, грибки, компенсаторы			Грибки АМГ Ду 150 (верхние) (541-03.315-02)		3	3	18000	54000	не указано	комплект			54000
Склад 1А/1Б	Трубопроводная обвязка	Головки, грибки, компенсаторы			Грибки АМГ Ду 150 (нижние) (541-03.316-02)		2	2	17000	34000	не указано	комплект			34000
Склад 1А/1Б	Трубопроводная обвязка	Головки, грибки, компенсаторы			Грибки Ду200 (б/у) (541-03.313-04)		2	2	20000	40000	б/у	комплект			40000
Склад 1А/1Б	Трубопроводная обвязка	Головки, грибки, компенсаторы			Грибки АМГ Ду 200 с нижнем приводом (541-03.313-04)		2	2	20000	40000	не указано	комплект			40000
Склад 1А/1Б	Арматура	Клинкеты и задвижки			Задвижка клинкетная Ду60		1	1	18000	18000	не указано	комплект			18000
Склад 1А/1Б	Арматура	Клинкеты и задвижки			Задвижка клинкетная ДУ 80, сталь		1	1	22000	22000	не указано	комплект			22000
Склад 1А/1Б	Арматура	Клапаны			Клапан проходной фланцевый Ду65 КОРПУС - БРАК		1	1	18000	18000	не указано	брак			18000
Склад 1А/1Б	Трубопроводная обвязка	Головки, грибки, компенсаторы			Грибки Ду125 б-у		1	1	20000	20000	б/у	комплект			20000
Склад 1А/1Б	Арматура	Клинкеты и задвижки			Задвижка клинкетная Ду 50, без клиньев		1	1	25000	25000	не указано	не комплект			25000
Склад 2	Арматура	Клинкеты и задвижки	Задвижка клинкетная(бронза)		Задвижка клинкетная Ду100Ру6		40	0		0	не указано	комплект			0
Склад 2	Арматура	Клинкеты и задвижки	Задвижка клинкетная фланцевая Ду200 Ру6		Задвижка клинкетная стальная Ду300	544-03.067	2	2	75000	150000	не указано	комплект			150000
Склад 2	Арматура	Захлопки	Захлопки		Захлопка фланцевая вертикальная Ду50Ру63	529-35.1400-01	1	1	25000	25000	не указано	комплект			25000
Склад 2	Арматура	Захлопки	Захлопки		Захлопка фланцевая горизонтальная Ду50	529-03.011	1	1	25000	25000	не указано	комплект			25000
Склад 2	Арматура	Захлопки	Захлопки		Захлопка фланцевая проходная Ду100Ру6,3	529-35.1406-01	1	1	40000	40000	не указано	комплект			40000
Склад 2	Арматура	Захлопки	Захлопки		Захлопка фланцевая горизон. Ду100 Ру10	529-03.074	3	3	40000	120000	не указано	комплект			120000
Склад 2	Арматура	Захлопки	Захлопки		Захлопка фланцевая вертикальная Ду100	529-03.003	1	1	40000	40000	не указано	комплект			40000
Склад 2	Арматура	Захлопки	Захлопки		Захлопка фланцевая угловая Ду100Ру10	529-35-1405-01	1	1	40000	40000	не указано	комплект			40000
Склад 2	Арматура	Клапаны	Клапана быстрозапорн.фланцевые проходные		Клапан быстрозапор. фланц.проход.с тросиков.приводом Ду70 Ру6,3	БЕЗ ЧЕРТЕЖА	3	3	40000	120000	не указано	комплект			120000
Склад 2	Арматура	Клапаны	Клапана быстрозапорн.фланцевые проходные		Клапан быстрозапор. фланц.проход.с тросиков.приводом Ду80 Ру6,3	521-03.023	2	2	45000	90000	не указано	комплект			90000
Склад 2	Арматура	Клапаны	Клапана быстрозапорн.фланцевые проходные		Клапан быстрозапор. фланц.проход.с тросиков.приводом Ду65 Ру6,3	521-03-022	1	1	35000	35000	не указано	комплект			35000
Склад 2	Арматура	Клапаны	Клапана быстрозапорн.фланцевые проходные		Клапан быстрозапор. фланц.проход.с тросиков.приводом Ду40 Ру6,3	521-03-020	0	0	35000	0	не указано	комплект			0
Склад 2	Арматура	Клапаны	Клапан фланцевый проходной		Клапан фланцевый проходной Ду125 ок.входа	521-35.3455-02	2	2	37500	75000	не указано	комплект			75000
Склад 2	Арматура	Клапаны	Клапан фланцевый угловой		Клапан фланцевый угловой Ду40 Ру25 сталь ок.входа	522-35.445-19	2	2	18000	36000	не указано	комплект			36000
Склад 2	Арматура	Клапаны	Клапан штуцерный проходной невозвратный		Клапан штуцерный проходной невозвратный Ду10Ру100	522-01-493	5	5	4000	20000	не указано	комплект			20000
Склад 2	Арматура	Клапаны	Клапан штуцерный проходной невозвратный		Клапан штуцерный проходной невозвратный Ду10Ру100	522-01-493-01	1	1	4000	4000	не указано	комплект			4000
Склад 2	Арматура	Клапаны	Клапан запорный штуцерный проходной		Клапан запорный штуцерный проходной Ду10 Ру16	521-35.2754	6	6	4000	24000	не указано	комплект			24000
Склад 2	Арматура	Клапаны	Клапан штуцерный проходной		Клапан штуцерный проходной Ду 6 Ру40	521-01.471	1	0		0	не указано	комплект			0
Склад 2	Арматура	Клапаны	Клапан штуцерный проходной		Клапан штуцерный проходной Ду 10 Ру25 СТАЛЬ	521-3м-953	1	1	2000	2000	не указано	комплект			2000
Склад 2	Арматура	Клапаны	Клапан штуцерный проходной		Клапан штуцерный проходной Ду 10 Ру63 СТАЛЬ	522-03.134	1	1	2000	2000	не указано	комплект			2000
Склад 2	Арматура	Клапаны	Клапан штуцерный проходной		Клапан штуцерный проходной Ду 10 Ру100	521-01.469-03	7	7	4500	31500	не указано	комплект			31500
Склад 2	Арматура	Клапаны	Клапан штуцерный проходной		Клапан штуцерный проходной Ду 10 Ру40	521-01.471-01	18	18	3000	54000	не указано	комплект			54000
Склад 2	Арматура	Клапаны	Клапан штуцерный проходной		Клапан штуцерный проходной Ду 10 Ру100	521-01.469-02	2	2	2500	5000	не указано	комплект			5000
Склад 2	Арматура	Клапаны	Клапан штуцерный проходной		Клапан штуцерный проходной Ду 10 Ру6	521-3м-52	1	1	2000	2000	не указано	комплект			2000
Склад 2	Арматура	Клапаны	Клапан штуцерный проходной Ду 10 Ру100		Клапан штуцерный проходной Ду 10 Ру400	521-35.3238	1	1	6000	6000	не указано	комплект			6000
Склад 2	Арматура	Клапаны	Клапан штуцерный проходной Ду 10 Ру100		Клапан штуцерный проходной Ду 10 Ру400	521-03.420	2	2	6000	12000	не указано	комплект			12000
Склад 2	Арматура	Клапаны	Клапан штуцерный проходной Ду 10 Ру100		Клапан невозвратный штуцерный проходной Ду20 Ру40	522-3м-9	1	1	4000	4000	не указано	комплект			4000
Склад 2	Арматура	Клапаны	Клапан штуцерный проходной Ду 10 Ру100		Клапан штуцерный проходной Ду25(новый)	521-01.470-05	17	0		0	новый	комплект			0
Склад 2	Арматура	Клапаны	Клапан штуцерный проходной Ду 10 Ру100		Клапан невозвратный штуцерный проходной Ду32Ру100	522-01.494-03	2	0		0	не указано	комплект			0
Склад 2	Арматура	Клапаны	Клапан штуцерный проходной Ду 10 Ру100		Клапан невозвратный штуцерный проходной Ду20Ру160	522-03.089	1	1	6000	6000	не указано	комплект			6000
Склад 2	Арматура	Клапаны	Клапан штуцерный проходной Ду 10 Ру100		Клапан штуцерный проходной Ду32Ру100	521-01.470-07	1	0		0	не указано	комплект			0
Склад 2	Арматура	Клапаны	Клапан штуцерный проходной бессальниковый с герметизацией		Клапан штуцерный проходной бессальниковый Ду15/1	521-35.2608-01	3	3		0	не указано	комплект			0
Склад 2	Арматура	Клапаны	Клапан педальный		Клапан педальный Ду25	М528-03.001	1	1	12500	12500	не указано	комплект			12500
Склад 2	Арматура	Клапаны	Клапан педальный		Клапан педальный Ду25 Китай	М528-03.001	62	62	12500	775000	не указано	комплект	Китай		775000
Склад 2	Арматура	Клапаны	Клапан угловой с присоединением под дюрит		Клапан угловой с присоединением под дюрит Ду50Ру4	521-03.445-04	4	4	10000	40000	не указано	комплект			40000
Склад 2	Арматура	Клапаны	Клапан невозв-запорн.с присоед.под дюрит проходной		Клапан невозв-запорн.с присоед.под дюрит прох. Ду 50 Ру6	522-03.124-04	1	1	10000	10000	не указано	комплект			10000
Склад 2	Арматура	Клапаны	Клапана фланцевые проходные титановые		Клапан фланцевый проходной титановые Ду50Ру10	521-182.110	5	5		0	новый	комплект			0
Склад 2	Арматура	Клапаны	Клапана фланцевые проходные титановые		Клапан фланцевый проходной титановые Ду100Ру10	521-182.116	1	1		0	новый	комплект			0
Склад 2	Арматура	Клапаны	Клапан цапковый угловой под дюрит		Клапан невозв-запор.цапковый угловой под дюрит Ду20Ру6	522-03.123	2	2	4800	9600	не указано	комплект			9600
Склад 2	Арматура	Клапаны	Клапан самозакрывающий проходной муфтовый		(Кнопка)Клапан самозакрывающий проходной муфтовый Ду15Ру3	528-35.176	1	1		0	не указано	комплект			0
Склад 2	Арматура	Клапаны	Клапан дроссельный угловой штуцерный		Клапан дроссельный угловой штуцерный	525-35.577	1	1		0	не указано	комплект			0
Склад 2	Арматура	Клапаны	Клапан штуцерный угловой		Клапан штуцерный угловой Ду10 Р160	522-03,149	6	6	4000	24000	не указано	комплект			24000
Склад 2	Арматура	Клапаны	Клапан штуцерный угловой		Клапан штуцерный угловой Ду6Ру100	521-01.467-02	3	3	2000	6000	не указано	комплект			6000
Склад 2	Арматура	Клапаны	Клапан штуцерный угловой Ду10 Ру100		Клапан штуцерный угловой Ду10 Ру100	521-01.493-02	1	1		0	не указано	комплект			0
Склад 2	Арматура	Клапаны	Клапан штуцерный угловой Ду10 Ру100		Клапан штуцерный угловой Ду10 Ру100	522-01.499-01	1	1	2000	2000	не указано	комплект			2000
Склад 2	Арматура	Клапаны	Клапан штуцерный угловой Ду10 Ру100		Клапан штуцерный угловой Ду10 Ру100	521-01.465-01	1	1	20200	20200	не указано	комплект			20200
Склад 2	Арматура	Клапаны	Клапан штуцерный угловой Ду10 Ру100		Клапан штуцерный угловой Ду10 Ру100	521-01.467-03	1	1	2000	2000	не указано	комплект			2000
Склад 2	Арматура	Клапаны	Клапан штуцерный угловой Ду10 Ру100		Клапан штуцерный угловой Ду15 Ру160	521-03.387	4	4	9000	36000	не указано	комплект			36000
Склад 2	Арматура	Клапаны	Клапан штуцерный угловой Ду10 Ру100		Клапан штуцерный угловой Ду20 Ру160	521-03.479	1	1	9000	9000	не указано	комплект			9000
Склад 2	Арматура	Клапаны	Клапан штуцерный угловой Ду10 Ру100		Клапан штуцерный угловой Ду20 Ру100	521-01.468-05	5	5	3000	15000	не указано	комплект			15000
Склад 2	Арматура	Клапаны	Клапан штуцерный угловой Ду10 Ру100		Клапан штуцерный угловой Ду32Ру100 (Яшик мет.)	521-01.468-07	31	31	9600	297600	не указано	комплект			297600
Склад 2	Арматура	Клапаны	Клапан штуцерный угловой Ду10 Ру100		Клапан штуцерный угловой Ду32Ру100 (Яшик мет.)	521-01.464-07	14	14	9600	134400	не указано	комплект			134400
Склад 2	Арматура	Клапаны	Клапан штуцерный угловой Ду10 Ру100		Клапан штуцерный угловой Ду32Ру100 (Яшик мет.)	521-01.464-06	1	1	9600	9600	не указано	комплект			9600
Склад 2	Арматура	Клапаны	Клапан штуцерный угловой Ду10 Ру100		Клапан штуцерный угловой Ду32Ру100 (Яшик мет.)	522-01.500-07	1	1	9600	9600	не указано	комплект			9600
Склад 2	Арматура	Клапаны	Клапан штуцерный угловой Ду10 Ру100		Клапан штуцерный угловой Рр150/10	521-ц22п	8	8	4000	32000	не указано	комплект			32000
Склад 2	Арматура	Клапаны	Клапан штуцерный угловой Ду10 Ру100		Клапан штуцерный угловой Ду25	521--01.468-08	1	1	7500	7500	не указано	комплект			7500
Склад 2	Арматура	Клапаны	Клапан штуцерный угловой Ду10 Ру100		Клапан штуцерный угловой Ду НЕРЖ	521-03.472-01	1	1		0	не указано	комплект			0
Склад 2	Арматура	Клапаны	Клапан штуцерный угловой Ду10 Ру100		Клапан штуцерный угловой Ду25	521--35.3363	1	1	7500	7500	не указано	комплект			7500
Склад 2	Арматура	Клапаны	Клапан редукционный штуцерный угловой Ду10Ру200…30		Клапан редукционный штуцерный угловой Ду10Ру200…30 с манометром	525-35.2634	1	1	6000	6000	не указано	комплект			6000
Склад 2	Арматура	Клапаны	Клапан редукционный штуцерный угловой Ду10Ру200…30		Клапан редукционный штуцерный угловой Ду10Ру200…30 с манометром	525-35.2634-04	1	1	6000	6000	не указано	комплект			6000
Склад 2	Арматура	Клапаны	Клапан для манометра штущерный сальниковый		Клапан для манометра штущерный сальниковый Ду6Ру100 новый	521-02.013	95	95	4500	427500	новый	комплект			427500
Склад 2	Арматура	Клапаны	Клапан для манометра штущерный сальниковый		Клапан для манометра штущерный сальниковый Ду6Ру100 б/у	521-02.013	1	1	4500	4500	б/у	комплект			4500
Склад 2	Арматура	Клапаны	Клапан для манометра штуцерный сальниковый Ду6Ру100		Клапан для манометра штущерный сальниковый Ду6Ру100 б/у	521-02.014	1	1	4500	4500	б/у	комплект			4500
Склад 2	Арматура	Клапаны	Клапан для манометра штуцерный сальниковый Ду6Ру100		Клапан для манометра штущерный Ду3Ру400 новый	521-03.406	2	2	6000	12000	новый	комплект			12000
Склад 2	Арматура	Клапаны	Клапан редукционный проходной		Клапан редукционный штуц.проход.односедельный Ду20Ру400 у входа	525-03.044	9	9		0	не указано	комплект			0
Склад 2	Арматура	Клапаны	Клапан с электромагнитным ручным управлением		Клапан с электромагнитным ручным управлением Ду20/10 перем. 220В	587-35.8490-04	1	1		0	не указано	комплект			0
Склад 2	Арматура	Клапаны	Клапан с электромагнитным ручным управлением		Клапан	587-182.126	1	1		0	не указано	комплект			0
Склад 2	Арматура	Клапаны	Клапан фреоновый		Клапан фреоновый саленоидный		2	2		0	новый	комплект			0
Склад 2	Арматура	Клапаны	Клапан муфтовый проходной запорный		Клапан муфтовый проходной запорный Ду32Ру10		1	1	1500	1500	не указано	комплект			1500
Склад 2	Арматура	Клапаны	Клапан муфтовый проходной запорный		Клапан муфтовый проходной запорный Ду25Ру16	521-03.124	2	2	1250	2500	не указано	комплект			2500
Склад 2	Арматура	Клапаны	Клапан муфтовый проходной запорный		Клапан муфтовый проходной запорный Ду20Ру16		1	1	1000	1000	не указано	комплект			1000
Склад 2	Арматура	Клапаны	Клапан предохранительный штуцерный сигнальный Ду6 Ру100-230		Клапан предохранительный штуцерный сигнальный Ду6 Ру100-230	524-35.2423-01	1	1	4500	4500	не указано	комплект			4500
Склад 2	Арматура	Клапаны	Клапан предохранительный штуцерный сигнальный Ду6 Ру100-230		Клапан предохранительный штуцерный сигнальный Ду6Ру100-250	524-03.188	2	2	4500	9000	не указано	комплект			9000
Склад 2	Арматура	Клапаны	Клапан предохранительный штуцерный сигнальный Ду6 Ру100-230		Клапан предохранительный штуцерный сигнальный Ду10Ру1,3-6,5	524-03.174	1	1	6000	6000	не указано	комплект			6000
Склад 2	Арматура	Клапаны	Клапан предохранительный штуцерный сигнальный Ду6 Ру100-230		Клапан предохранительный штуцерный сигнальный Ду10Ру2,5-6,5	524-03.173	1	1	6000	6000	не указано	комплект			6000
Склад 2	Арматура	Клапаны	Клапан предохранительный штуцерный сигнальный Ду6 Ру100-230		Клапан пусковой Ду20Ру125		7	7		0	не указано	комплект			0
Склад 2	Арматура	Клапаны	Клапан предохранительный штуцерный сигнальный Ду6 Ру100-230		Клапан пусковой Ду32Ру125	587-03,082	8	8		0	не указано	комплект			0
Склад 2	Арматура	Клапаны	Клапан предохранительный штуцерный угловой Ду10Ру5-9		Клапан предохранительный штуцерный угловой Ду6,5-9	524-03.004	1	1	9000	9000	не указано	комплект			9000
Склад 2	Арматура	Клапаны	Клапан для колонки указательной		Клапан для колонки указательной Ду10 Ру16	598-03.022-06	6	6	6000	36000	не указано	комплект			36000
Склад 2	Арматура	Клапаны	Клапан паровой		Клапан паровой Ду65Ру10	581-03.034	1	1		0	не указано	комплект			0
Склад 2	Трубопроводная обвязка	Головки, грибки, компенсаторы	Эжектор		Эжектор ВЭЖ 6,3		1	1	25000	25000	не указано	комплект			25000
Склад 2	Трубопроводная обвязка	Фланцы, стаканы, гайки	Стакан переборочный		Стакан переборочный Ду10Ру100	554-35.265	5	5		0	не указано	комплект			0
Склад 2	Трубопроводная обвязка	Фланцы, стаканы, гайки	Стакан переборочный		Стакан переборочный Ду20Ру100	554-03.909-03	3	3		0	не указано	комплект			0
Склад 2	Трубопроводная обвязка	Фланцы, стаканы, гайки	Стакан переборочный		Стакан переборочный Ду20Ру100	554-03.905-06	8	8		0	не указано	комплект			0
Склад 2	Трубопроводная обвязка	Фланцы, стаканы, гайки	Стакан переборочный Ду20Ру100 (в ящике под полкой)		Стакан переборочный Ду25Ру100	554-35.156	2	2		0	не указано	комплект			0
Склад 2	Арматура	Клапаны	Клапан фланц. концевой пожарный угловой Ду50 Ру25		Клапан фланц. концевой пожарный угловой Ду50 Ру25	595-3М-48	1	1		0	не указано	комплект			0
Склад 2	Арматура	Клапаны	Клапан фланц. концевой пожарный угловой Ду50 Ру25		Клапан фланц. концевой пожарный угловой Ду50 Ру25	595-35-021	1	1		0	не указано	комплект			0
Склад 2	Арматура	Клапаны	Клапан фланц. концевой пожарный угловой Ду50 Ру25		Клапан фланц. концевой пожарный угловой Ду32 Ру10	595-03-006	1	1		0	не указано	комплект			0
Склад 2	Арматура	Клапаны	Клапан фланц. концевой пожарный угловой Ду50 Ру25		Клапан фланц. концевой пожарный угловой Ду32 Ру16	595-01-010	2	2		0	не указано	комплект			0
Склад 2	Арматура	Клапанные коробки	Коробка 3-х клапановая фланцевая невозврат.		Коробка 3-х клап.фланцевая Ду50		3	3		0	не указано	комплект			0
Склад 2	Арматура	Клапанные коробки	Коробка 3-х клапановая фланцевая невозврат.		Коробка 3-х клап.фланцевая Ду80		8	8		0	не указано	комплект			0
Склад 2	Арматура	Клапанные коробки	Коробка 3-х клапановая фланцевая невозврат.		Коробка 3-х клап.фланцевая Ду100		1	1		0	не указано	комплект			0
Склад 2	Арматура	Клапанные коробки	Коробка 2-х клапановая фланцевая		Коробка 2-х клапановая фланцевая Ду50		2	2		0	новый	комплект			0
Склад 2	Арматура	Клапанные коробки	Коробка 2-х клапановая фланцевая		Коробка 2-х клапановая фланцевая Ду80		13	13		0	новый	комплект			0
Склад 2	Трубопроводная обвязка	Фильтры забортной воды	Фильтр фланц.прох. забортной воды Ду80		Фильтр фланц.прох. забортной воды Ду100 Ру4	427-03-109-2	3	3	120000	360000	не указано	комплект			360000
Склад 2	Трубопроводная обвязка	Фланцы, стаканы, гайки	Фланец приварной		Фланец свободный Ду80	555-35.1755	12	12		0	не указано	комплект			0
Склад 2	Трубопроводная обвязка	Фланцы, стаканы, гайки	Фланец приварной		Фланец Ду65		39	39		0	не указано	комплект			0
Склад 2	Трубопроводная обвязка	Фильтры забортной воды	Прочее		Сетка на фильтр Ду100 или Ду80		2	2	10000	20000	не указано	комплект			20000
Склад 2	Арматура	Кингстоны	Прочее		Сетка на фильтр Ду100 (медь) на кингстон РС-300		2	2	10000	20000	не указано	комплект			20000
Склад 2	Трубопроводная обвязка	Фильтры забортной воды	Прочее		Сетка на фильтр Ду20 маленькая		1	1	3000	3000	не указано	комплект			3000
Склад 2	Арматура	Краны	Кран штуцерный спусковой самозапорный проходной		Кран штуцерный спусковой самозапорный проходной Ду15 Ру25		4	4	7500	30000	не указано	комплект			30000
Склад 2	Арматура	Краны	Кран штуцерный спусковой самозапорный проходной		Кран штуцерный спусковой самозапорный проходной Ду20 Ру10	528-3М129	36	36	9000	324000	не указано	комплект			324000
Склад 2	Арматура	Краны	Кран двухходовой фланцевый		Кран двухходовой фланцевый Ду32 Ру6	536-3М.72	1	1	9600	9600	не указано	комплект			9600
Склад 2	Арматура	Краны	Кран трехходовой штуцерный		Кран трехходовой штуцерный Ду32 Ру10	536-35.696	2	2	14400	28800	не указано	комплект			28800
Склад 2	Арматура	Краны	Кран трехходовой штуцерный		Кран трехходовой штуцерный Ду32 Ру10	536-3М512	0	0	14400	0	не указано	комплект			0
Склад 2	Арматура	Краны	Кран трехходовой штуцерный		Кран трехходовой штуцерный Ду20 Ру16	536-3М20	0	0	9000	0	не указано	комплект			0
Склад 2	Арматура	Краны	Кран трехходовой штуцерный		Кран трехходовой штуцерный Ду20 Ру16	536-35.695	7	7	9000	63000	не указано	комплект			63000
Склад 2	Арматура	Краны	Кран двухходовой штуцерный		Кран двухходовой штуцерный Ду20 Ру16	536-3М5	3	3	4000	12000	не указано	комплект			12000
Склад 2	Арматура	Краны	Кран двухходовой штуцерный		Кран двухходовой штуцерный Ду10 Ру25	536-3м3	0	0	2000	0	не указано	комплект			0
Склад 2	Арматура	Клапаны	Кательная арматура		Клапан Ду20/10	581-С6.73	3	3	9000	27000	не указано	комплект			27000
Склад 2	Арматура	Клапаны	Кательная арматура		Кланан Рр18-2 45/25	2619802505	1	1		0	не указано	комплект			0
Склад 2	Насосное и механическое	Регуляторы и топливная аппаратура	Регулятор РТНД		Регулятор РТНД-150		0	3	1150000	3450000	не указано	комплект			3450000
Склад 2	Насосное и механическое	Сепараторы и барабаны	Барабан		Барабан СЦ-1,5 (новые)		5	5	156000	780000	новый	комплект			780000
Склад 2	Насосное и механическое	Сепараторы и барабаны	Барабан		Барабан СЦ-1,5 б/у КОРПУС БАРАБАНА		3	3	70000	210000	б/у	комплект			210000
Склад 2	Насосное и механическое	Сепараторы и барабаны	Барабан		Барабан СЦ-3 б/у КОРПУС БАРАБАНА		2	2	100000	200000	б/у	комплект			200000
Склад 2	Насосное и механическое	Сепараторы и барабаны	Барабан		Барабан СЦ-1,5 б/у ( в сборе)		1	1	100000	100000	б/у	комплект			100000
Склад 2	Насосное и механическое	Насосы	Насосы		Насос НР-0,25/30		0	0		0	не указано	комплект			0
Склад 2	Насосное и механическое	Насосы	Насосы		Насос НР-1,25/30		0	0		0	не указано	комплект			0
Склад 2	Насосное и механическое	Насосы	Насосы		Насос гарда		0	0		0	не указано	комплект			0
Склад 2	Насосное и механическое	Насосы	Насосы		Насос пресновод.д/осушения танков 4390/4-588-001		1	1	100000	100000	новый	комплект			100000
Склад 2	Насосное и механическое	Насосы	Насосы		Насос 8ZD72/48 3S-72,5*145		0	0		0	не указано	комплект			0
Склад 2	Насосное и механическое	Насосы	Насосы		Насос 2НВР-5ДМ УХЛ42		0	0		0	не указано	комплект			0
Склад 2	Насосное и механическое	Насосы	Насосы		Насос ТПН		0	0		0	не указано	комплект			0
Склад 2	Насосное и механическое	Насосы	Насосы		Насос ЭВН 3/5		0	0		0	не указано	комплект			0
Склад 2	Насосное и механическое	Компрессоры и приводы	ЭЛЕКТРИКА		Контроллер КВ-00287(грузовая лебедка), б/у	1		1	112000	112000	б/у	комплект			112000
Склад 2	Насосное и механическое	Компрессоры и приводы	ЭЛЕКТРИКА		Контроллер КВ-00285(грузовая лебедка), б/у	1		1	170500	170500	б/у	комплект			170500
Склад 2	Насосное и механическое	Компрессоры и приводы	ЭЛЕКТРИКА		Контроллер (грузовая лебедка) большая б/у	1		1	100000	100000	б/у	комплект			100000
Склад 2	Насосное и механическое	Компрессоры и приводы	ЭЛЕКТРИКА		Контроллер КВ1831 для шпиля Ш-3	1		1	140000	140000	не указано	комплект			140000
Склад 2	Электрика	Светильники и комплектующие	ЭЛЕКТРИКА		Светильник СС328 (китай)	10		10	1533	15330	не указано	комплект	Китай		15330
Склад 2	Электрика	Светильники и комплектующие	ЭЛЕКТРИКА		Светильник СС328 (дно)Украина приход 31.01.14	23		23	500	11500	не указано	комплект	Украина		11500
Склад 2	Электрика	Светильники и комплектующие	ЭЛЕКТРИКА		Светильник СС328 (Эра комсом-на-амуре)	4		4	4000	16000	не указано	комплект			16000
Склад 2	Электрика	Светильники и комплектующие	ЭЛЕКТРИКА		Светильник СС-373 в сборе	2		2	4950	9900	не указано	комплект			9900
Склад 2	Электрика	Светильники и комплектующие	ЭЛЕКТРИКА		Светильник СС373 (дно)	3		3	1500	4500	не указано	комплект			4500
Склад 2	Электрика	Светильники и комплектующие	ЭЛЕКТРИКА		Светильник СС373 (решетка)	8		8	1632	13056	не указано	комплект			13056
Склад 2	Электрика	Светильники и комплектующие	ЭЛЕКТРИКА		Светильник СС383 (НИЗ)	0		0		0	не указано	комплект			0
Склад 2	Электрика	Светильники и комплектующие	ЭЛЕКТРИКА		Светильник СС-56 (корпус)	0		0		0	не указано	комплект			0
Склад 2	Электрика	Светильники и комплектующие	ЭЛЕКТРИКА		Светильник СС854 (прикроватный) КИТАЙ	1		1	1000	1000	не указано	комплект	Китай		1000
Склад 2	Электрика	Светильники и комплектующие	ЭЛЕКТРИКА		Светильник СС-328 решетка	38		38	800	30400	не указано	комплект			30400
Склад 2	Электрика	Светильники и комплектующие	ЭЛЕКТРИКА		Светильник СС-328 ДНО с Армотизатором	17		17	500	8500	не указано	комплект			8500
Склад 2	Электрика	Светильники и комплектующие	ЭЛЕКТРИКА		Светильник СС-328 ДНО без армотизации	21		21	500	10500	не указано	не комплект			10500
Склад 3	Арматура	Клинкеты и задвижки	Задвижка клинкетная(бронза)		Задвижка клинкетная Ду60		1	1	18000	18000	не указано	комплект			18000
Склад 3	Арматура	Клинкеты и задвижки	Задвижка клинкетная(бронза)		Задвижка клинкетная Ду65		16	16	27000	432000	не указано	комплект			432000
Склад 3	Арматура	Клинкеты и задвижки	Задвижка клинкетная(бронза)		Задвижка клинкетная фланцевая Ду70 Ру6		7	7	27000	189000	не указано	комплект			189000
Склад 3	Арматура	Клинкеты и задвижки	Задвижка клинкетная(бронза)		Задвижка клинкетная фланцевая Ду80 Ру6		18	18	32000	576000	не указано	комплект			576000
